#time[hr]   Amount of Substance
2.76767, 386.412
3.57325, 373.400
3.66784, 349.140
7.06021, 334.372
8.13770, 301.836
8.49682, 291.188
8.85633, 278.764
12.6003, 287.076
16.0821, 271.126
15.6444, 234.436
18.7653, 236.826
24.4791, 210.833
23.2378, 177.687
23.8658, 161.124
25.6523, 148.711
28.7763, 137.492
35.6412, 148.785
37.1593, 139.920
39.4818, 123.370
39.3973, 102.659
41.3615, 93.2060
43.4141, 87.3040
45.4631, 97.3783
50.1918, 89.1293
52.1596, 63.7001
55.0167, 49.5200
58.3133, 64.3373
63.3084, 61.4157
63.4906, 44.2572
65.0976, 36.5768
66.2539, 50.7866
66.6977, 60.2573
67.9491, 47.8405
67.5940, 40.1456
67.9532, 29.4974
70.7155, 40.1687
72.9435, 47.8775
76.7849, 18.9118
